Mat Object: (p_) 2 MPI processes
  type: mpiaij
row 143: (46, -0.453686)  (143, 1.40225)  (144, -0.44616)  (160, -0.502401) 
row 144: (143, -0.44616)  (144, 1.62631)  (178, -0.58858)  (291, -0.591568) 
row 145: (50, -0.33807)  (126, -0.459349)  (145, 1.13711)  (186, -0.339696) 
row 146: (6, -0.487208)  (88, -0.419547)  (89, -0.489338)  (146, 1.39609) 
row 147: (99, -0.468804)  (147, 1.46854)  (148, -0.390012)  (191, -0.609722) 
row 148: (147, -0.390012)  (148, 1.05781)  (166, -0.388145)  (293, -0.279656) 
row 149: (21, -0.350558)  (117, -0.495306)  (149, 1.1032)  (163, -0.257336) 
row 150: (24, -0.412221)  (150, 1.23428)  (276, -0.391127)  (304, -0.430931) 
row 151: (67, -0.214719)  (151, 0.847525)  (311, -0.229457)  (596, -0.403349) 
row 152: (75, -0.469433)  (141, -0.470358)  (142, -0.43284)  (152, 1.37263) 
row 153: (111, -0.451044)  (153, 1.18453)  (167, -0.340869)  (184, -0.392621) 
row 154: (127, -0.583845)  (128, -0.519354)  (154, 1.52923)  (193, -0.426032) 
row 155: (57, -0.482267)  (136, -0.574935)  (141, -0.544231)  (155, 1.60143) 
row 156: (105, -0.358598)  (156, 1.15603)  (172, -0.474812)  (297, -0.322617) 
row 157: (93, -0.390278)  (128, -0.422111)  (157, 1.49248)  (289, -0.68009) 
row 158: (49, -0.374868)  (78, -0.420042)  (158, 1.10489)  (159, -0.309978) 
row 159: (67, -0.185611)  (158, -0.309978)  (159, 0.68154)  (311, -0.18595) 
row 160: (143, -0.502401)  (160, 1.52053)  (188, -0.563088)  (313, -0.455045) 
row 161: (161, 1.52242)  (251, -0.298608)  (252, -0.600253)  (273, -0.623559) 
row 162: (99, -0.409325)  (101, -0.777718)  (162, 1.57247)  (273, -0.385423) 
row 163: (28, -0.343014)  (149, -0.257336)  (163, 0.947054)  (268, -0.346704) 
row 164: (34, -0.432093)  (117, -0.45704)  (164, 1.29717)  (634, -0.408033) 
row 165: (30, -0.344163)  (77, -0.4056)  (165, 1.33595)  (240, -0.586191) 
row 166: (111, -0.336005)  (148, -0.388145)  (166, 0.995388)  (192, -0.271238) 
row 167: (39, -0.418837)  (153, -0.340869)  (167, 1.16364)  (294, -0.403936) 
row 168: (65, -0.383773)  (66, -0.592721)  (168, 1.3013)  (252, -0.324802) 
row 169: (49, -0.420981)  (133, -0.446042)  (169, 1.33388)  (281, -0.466854) 
row 170: (98, -0.404188)  (120, -0.30124)  (121, -0.377561)  (170, 1.08299) 
row 171: (96, -0.48426)  (102, -0.592463)  (171, 1.57005)  (207, -0.493327) 
row 172: (13, -0.553652)  (126, -0.333339)  (156, -0.474812)  (172, 1.3618) 
row 173: (129, -0.459229)  (130, -0.266386)  (138, -0.504493)  (173, 1.23011) 
row 174: (22, -0.491263)  (33, -0.267704)  (34, -0.372707)  (174, 1.13167) 
