Mat Object: (p_) 2 MPI processes
  type: mpiaij
row 110: (105, -0.601681)  (106, -0.605746)  (110, 1.71219)  (115, -0.504759) 
row 111: (105, -0.597056)  (107, -0.528823)  (111, 1.61432)  (116, -0.48844) 
row 112: (107, -0.41082)  (108, -0.464079)  (112, 1.23529)  (117, -0.360388) 
row 113: (108, -0.312391)  (109, -0.423536)  (113, 1.05614)  (118, -0.320214) 
row 114: (109, -0.302746)  (114, 0.97675)  (119, -0.241902)  (185, -0.432101) 
row 115: (110, -0.504759)  (115, 1.59842)  (120, -0.529755)  (484, -0.563908) 
row 116: (111, -0.48844)  (116, 1.6217)  (120, -0.580668)  (121, -0.552592) 
row 117: (112, -0.360388)  (117, 1.14287)  (121, -0.450153)  (122, -0.33233) 
row 118: (113, -0.320214)  (118, 0.834285)  (122, -0.32005)  (123, -0.194021) 
row 119: (114, -0.241902)  (119, 1.04548)  (123, -0.448273)  (124, -0.355301) 
row 120: (115, -0.529755)  (116, -0.580668)  (120, 1.56409)  (125, -0.453666) 
row 121: (116, -0.552592)  (117, -0.450153)  (121, 1.46782)  (126, -0.465071) 
row 122: (117, -0.33233)  (118, -0.32005)  (122, 0.910685)  (127, -0.258305) 
row 123: (118, -0.194021)  (119, -0.448273)  (123, 0.991728)  (128, -0.349434) 
row 124: (119, -0.355301)  (124, 0.717965)  (129, -0.143519)  (180, -0.219144) 
row 125: (120, -0.453666)  (125, 1.78973)  (130, -0.710066)  (131, -0.626001) 
row 126: (121, -0.465071)  (126, 1.46151)  (131, -0.508587)  (132, -0.48785) 
row 127: (122, -0.258305)  (127, 0.902445)  (128, -0.256503)  (132, -0.387637) 
row 128: (123, -0.349434)  (127, -0.256503)  (128, 1.02103)  (138, -0.415098) 
row 129: (0, -0.59744)  (124, -0.143519)  (129, 0.970949)  (133, -0.229989) 
row 130: (125, -0.710066)  (130, 1.58942)  (134, -0.602965)  (496, -0.276388) 
row 131: (125, -0.626001)  (126, -0.508587)  (131, 1.8219)  (146, -0.687313) 
row 132: (126, -0.48785)  (127, -0.387637)  (132, 1.45683)  (141, -0.581343) 
row 133: (3, -0.484646)  (129, -0.229989)  (133, 0.782052)  (135, -0.0674165) 
row 134: (130, -0.602965)  (134, 1.46968)  (153, -0.646698)  (518, -0.220013) 
row 135: (1, -0.472343)  (133, -0.0674165)  (135, 0.69907)  (136, -0.15931) 
row 136: (2, -0.293066)  (135, -0.15931)  (136, 0.506325)  (147, -0.0539487) 
row 137: (0, -0.319979)  (1, -0.271323)  (137, 1.55576)  (139, -0.576388)  (140, -0.388069) 
row 138: (0, -0.367532)  (128, -0.415098)  (138, 1.97511)  (140, -0.662094)  (141, -0.530389) 
row 139: (137, -0.576388)  (139, 1.75515)  (142, -0.266027)  (143, -0.657665)  (144, -0.255072) 
row 140: (137, -0.388069)  (138, -0.662094)  (140, 2.19425)  (144, -0.753848)  (145, -0.390235) 
row 141: (132, -0.581343)  (138, -0.530389)  (141, 2.46474)  (145, -0.808633)  (146, -0.544379) 
row 142: (1, -0.24225)  (139, -0.266027)  (142, 1.27427)  (147, -0.279297)  (148, -0.486697) 
row 143: (139, -0.657665)  (143, 1.91839)  (148, -0.164715)  (149, -0.940386)  (150, -0.155623) 
row 144: (139, -0.255072)  (140, -0.753848)  (144, 1.99699)  (150, -0.740768)  (151, -0.247305) 
row 145: (140, -0.390235)  (141, -0.808633)  (145, 2.41464)  (151, -0.830549)  (152, -0.385222) 
row 146: (131, -0.687313)  (141, -0.544379)  (146, 2.64112)  (152, -0.875294)  (153, -0.53413) 
row 147: (136, -0.0539487)  (142, -0.279297)  (147, 1.00559)  (154, -0.442227)  (155, -0.230122) 
row 148: (142, -0.486697)  (143, -0.164715)  (148, 1.68852)  (155, -0.190378)  (156, -0.846732) 
row 149: (143, -0.940386)  (149, 3.86281)  (156, -0.185525)  (157, -0.17964) 
row 150: (143, -0.155623)  (144, -0.740768)  (150, 2.0284)  (157, -0.979444)  (158, -0.152562) 
row 151: (144, -0.247305)  (145, -0.830549)  (151, 2.09652)  (158, -0.774108)  (159, -0.24456) 
row 152: (145, -0.385222)  (146, -0.875294)  (152, 2.50229)  (159, -0.858213)  (160, -0.383558) 
row 153: (134, -0.646698)  (146, -0.53413)  (153, 2.57386)  (160, -0.872628)  (276, -0.5204) 
row 154: (2, -0.0544328)  (147, -0.442227)  (154, 1.00701)  (161, -0.283448)  (162, -0.226903) 
row 155: (147, -0.230122)  (148, -0.190378)  (155, 1.35493)  (162, -0.318445)  (163, -0.615983) 
row 156: (148, -0.846732)  (149, -0.185525)  (156, 3.81391)  (163, -0.205243) 
row 157: (149, -0.17964)  (150, -0.979444)  (157, 3.86637)  (164, -0.177738) 
row 158: (150, -0.152562)  (151, -0.774108)  (158, 2.07086)  (164, -0.99248)  (165, -0.151707) 
row 159: (151, -0.24456)  (152, -0.858213)  (159, 2.13028)  (165, -0.78361)  (166, -0.243898) 
row 160: (152, -0.383558)  (153, -0.872628)  (160, 2.50498)  (166, -0.865568)  (277, -0.383226) 
row 161: (154, -0.283448)  (161, 1.36516)  (167, -0.493533)  (168, -0.318493)  (169, -0.269687) 
row 162: (154, -0.226903)  (155, -0.318445)  (162, 1.02722)  (167, -0.188332)  (170, -0.293536) 
row 163: (155, -0.615983)  (156, -0.205243)  (163, 3.38044)  (170, -0.211016) 
row 164: (157, -0.177738)  (158, -0.99248)  (164, 3.86847)  (171, -0.177258) 
row 165: (158, -0.151707)  (159, -0.78361)  (165, 2.08236)  (171, -0.995485)  (172, -0.151562) 
row 166: (159, -0.243898)  (160, -0.865568)  (166, 2.13876)  (172, -0.785475)  (279, -0.243814) 
row 167: (161, -0.493533)  (162, -0.188332)  (167, 1.34769)  (173, -0.50115)  (174, -0.164675) 
row 168: (2, -0.234778)  (3, -0.118921)  (161, -0.318493)  (168, 1.05234)  (175, -0.380149) 
row 169: (161, -0.269687)  (169, 1.77489)  (174, -0.657597)  (175, -0.592535)  (176, -0.255072) 
row 170: (162, -0.293536)  (163, -0.211016)  (170, 0.561903)  (173, -0.0573512) 
row 171: (164, -0.177258)  (165, -0.995485)  (171, 3.87006)  (177, -0.177203) 
row 172: (165, -0.151562)  (166, -0.785475)  (172, 2.08453)  (177, -0.995942)  (282, -0.151556) 
row 173: (167, -0.50115)  (170, -0.0573512)  (173, 0.625113)  (178, -0.0666117) 
row 174: (167, -0.164675)  (169, -0.657597)  (174, 1.54299)  (178, -0.56512)  (179, -0.155602) 
row 175: (168, -0.380149)  (169, -0.592535)  (175, 1.80367)  (180, -0.432161)  (181, -0.398828) 
row 176: (169, -0.255072)  (176, 1.99697)  (179, -0.740749)  (181, -0.753848)  (182, -0.247305) 
row 177: (171, -0.177203)  (172, -0.995942)  (177, 3.87059)  (286, -0.177206) 
row 178: (173, -0.0666117)  (174, -0.56512)  (178, 0.69777)  (183, -0.0660388) 
row 179: (174, -0.155602)  (176, -0.740749)  (179, 1.6417)  (183, -0.592792)  (184, -0.152558) 
row 180: (3, -0.352036)  (124, -0.219144)  (175, -0.432161)  (180, 1.52083)  (185, -0.517492) 
row 181: (175, -0.398828)  (176, -0.753848)  (181, 2.21173)  (185, -0.668823)  (186, -0.390235) 
row 182: (176, -0.247305)  (182, 2.09652)  (184, -0.774106)  (186, -0.830549)  (187, -0.24456) 
row 183: (178, -0.0660388)  (179, -0.592792)  (183, 0.724909)  (188, -0.0660774) 
row 184: (179, -0.152558)  (182, -0.774106)  (184, 1.68028)  (188, -0.601907)  (189, -0.151706) 
row 185: (114, -0.432101)  (180, -0.517492)  (181, -0.668823)  (185, 2.14772)  (190, -0.529306) 
row 186: (181, -0.390235)  (182, -0.830549)  (186, 2.40489)  (190, -0.798882)  (191, -0.385222) 
row 187: (182, -0.24456)  (187, 2.13028)  (189, -0.78361)  (191, -0.858213)  (192, -0.243898) 
row 188: (183, -0.0660774)  (184, -0.601907)  (188, 0.734089)  (193, -0.066105) 
row 189: (184, -0.151706)  (187, -0.78361)  (189, 1.69081)  (193, -0.603934)  (194, -0.151562) 
row 190: (104, -0.570661)  (185, -0.529306)  (186, -0.798882)  (190, 2.42586)  (195, -0.527015) 
