Mat Object: (p_) 1 MPI process
  type: seqaij
row 148: (108, -0.495065)  (109, -0.515001)  (148, 1.42854)  (149, -0.418475) 
row 149: (148, -0.418475)  (149, 1.37841)  (304, -0.469433)  (434, -0.490507) 
row 150: (61, -0.24741)  (62, -0.387355)  (130, -0.493585)  (150, 1.12835) 
row 151: (151, 0.940252)  (227, -0.332168)  (322, -0.4056)  (638, -0.202483) 
row 152: (5, -0.539957)  (152, 1.47783)  (310, -0.420042)  (343, -0.517831) 
row 153: (153, 1.02238)  (416, -0.469037)  (486, -0.389313)  (607, -0.164034) 
row 154: (154, 1.18688)  (426, -0.48141)  (607, -0.535328)  (686, -0.170143) 
row 155: (23, -0.572481)  (155, 1.17881)  (377, -0.256992)  (631, -0.349337) 
row 156: (156, 0.987893)  (214, -0.406673)  (233, -0.254204)  (631, -0.327016) 
row 157: (157, 1.17002)  (420, -0.532513)  (492, -0.412564)  (605, -0.224941) 
row 158: (158, 1.11307)  (429, -0.453309)  (605, -0.477075)  (637, -0.182687) 
row 159: (19, -0.448394)  (159, 1.16795)  (160, -0.33153)  (228, -0.388024) 
row 160: (159, -0.33153)  (160, 1.33125)  (366, -0.628641)  (614, -0.371073) 
row 161: (161, 1.37922)  (162, -0.474442)  (217, -0.391626)  (557, -0.513149) 
row 162: (71, -0.463212)  (161, -0.474442)  (162, 1.37029)  (200, -0.432634) 
row 163: (163, 1.72693)  (231, -0.729243)  (366, -0.392212)  (568, -0.605479) 
row 164: (164, 1.05995)  (196, -0.339988)  (239, -0.2747)  (339, -0.445257) 
row 165: (146, -0.334261)  (165, 0.915086)  (253, -0.303038)  (301, -0.277787) 
row 166: (114, -0.325587)  (166, 1.01721)  (421, -0.321164)  (507, -0.370464) 
row 167: (167, 0.963093)  (422, -0.370044)  (441, -0.270279)  (648, -0.322771) 
row 168: (168, 1.15965)  (441, -0.325485)  (499, -0.409112)  (651, -0.425049) 
row 169: (169, 1.61287)  (286, -0.419547)  (343, -0.595515)  (596, -0.597811) 
row 170: (80, -0.424239)  (170, 1.38909)  (286, -0.489338)  (344, -0.475517) 
