Mat Object: (p_) 1 MPI process
  type: seqaij
row 122: (110, -0.327827)  (122, 1.63208)  (123, -0.621428)  (134, -0.682823) 
row 123: (111, -0.438045)  (122, -0.621428)  (123, 1.73361)  (136, -0.674141) 
row 124: (112, -0.415892)  (124, 1.36627)  (135, -0.557162)  (137, -0.393222) 
row 125: (113, -0.392861)  (125, 1.26969)  (137, -0.51832)  (138, -0.358512) 
row 126: (114, -0.632586)  (116, -0.519454)  (126, 1.74471)  (139, -0.592669) 
row 127: (114, -0.594704)  (115, -0.663515)  (127, 1.86366)  (140, -0.605438) 
row 128: (115, -0.666056)  (128, 1.87102)  (136, -0.617592)  (141, -0.58737) 
row 129: (116, -0.566314)  (129, 1.31427)  (130, -0.299903)  (142, -0.448052) 
row 130: (117, -0.812313)  (129, -0.299903)  (130, 1.72934)  (143, -0.617127) 
row 131: (118, -0.590786)  (131, 1.51189)  (132, -0.241044)  (144, -0.680061) 
row 132: (119, -0.540201)  (131, -0.241044)  (132, 1.32373)  (145, -0.54248) 
row 133: (120, -0.597294)  (121, -0.566738)  (133, 1.66317)  (146, -0.499135) 
row 134: (120, -0.52536)  (122, -0.682823)  (134, 1.84438)  (147, -0.636201) 
row 135: (121, -0.498078)  (124, -0.557162)  (135, 1.48878)  (148, -0.433539) 
row 136: (123, -0.674141)  (128, -0.617592)  (136, 2.07928)  (149, -0.787545) 
row 137: (124, -0.393222)  (125, -0.51832)  (137, 1.27988)  (150, -0.368334) 
row 138: (125, -0.358512)  (138, 1.25995)  (151, -0.330777)  (351, -0.570661) 
row 139: (126, -0.592669)  (139, 1.67015)  (152, -0.518095)  (153, -0.559383) 
row 140: (127, -0.605438)  (140, 1.79702)  (152, -0.598706)  (154, -0.592873) 
row 141: (128, -0.58737)  (141, 1.80417)  (154, -0.575363)  (155, -0.641439) 
row 142: (129, -0.448052)  (142, 1.33047)  (153, -0.432294)  (156, -0.450129) 
row 143: (130, -0.617127)  (143, 1.62897)  (156, -0.307702)  (157, -0.704143) 
row 144: (131, -0.680061)  (144, 1.57411)  (157, -0.508126)  (158, -0.38592) 
row 145: (132, -0.54248)  (145, 1.20047)  (159, -0.287538)  (160, -0.370447) 
row 146: (133, -0.499135)  (146, 1.69787)  (161, -0.601681)  (162, -0.597056) 
row 147: (134, -0.636201)  (147, 1.97236)  (161, -0.605746)  (163, -0.730417) 
row 148: (135, -0.433539)  (148, 1.37318)  (162, -0.528823)  (164, -0.41082) 
row 149: (136, -0.787545)  (149, 2.19686)  (163, -0.816908)  (165, -0.592408) 
row 150: (137, -0.368334)  (150, 1.1448)  (164, -0.464079)  (166, -0.312391) 
row 151: (138, -0.330777)  (151, 1.05706)  (166, -0.423536)  (167, -0.302746) 
row 152: (139, -0.518095)  (140, -0.598706)  (152, 1.67245)  (168, -0.555647) 
